albert_einstein	mathematics	physics	astronomy		
alexander_graham_bell	inventions	engineering	communication		
alexandre_darracq	transport	engineering			
alexandre_dumas	literature	arts			
alice_huyler_ramsey	transport	communication			
alois_senefelder	inventions	engineering	printing		
amerigo_vespucci	exploration				
angela_merkel	politics				
anna_komnene	politics	medicine	history		
anne_claude_de_caylus	politics	archaeology	arts		
anne_frank	literature	politics	history		
antoine_lavoisier	chemistry				
arthur_holmes	geology				
atari	economics	electronic_games			
august_sander	arts	photography			
bill_gates	economics	inventions	computer_science	engineering	
billy_wilder	arts	broadcasting	cinematography		
carl_hagenbeck	zoology				
catherine_furbish	biology	botany	arts		
charles_darwin	biology	botany	geology		
charles_lapworth	geology				
christiaan_barnard	medicine				
david_attenborough	communication	broadcasting			
donald_knuth	mathematics	computer_science			
dorothea_erxleben	politics	medicine	women_scientists		
elizabeth_blackwell	medicine	women_scientists			
ernst_heinkel	politics	economics	aviation	engineering	transport
fabian_gottlieb_von_bellingshausen	exploration				
felix_klein	mathematics				
florence_r._sabin	medicine	women_scientists			
frederic_bartlett	psychology				
friedrich_eduard_beneke	psychology	philosophy			
friedrich_hölderlin	poetry				
galileo_galilei	mathematics	physics	history	engineering	astronomy
george_david_birkhoff	mathematics				
george_eastman	inventions	engineering	photography		
george_ellery_hale	outer_space	astronomy			
gertrude_caton_thompson	archaeology				
gideon_mantell	biology	paleontology	medicine	geology	
grace_hopper	computer_science	inventions	women_scientists		
gustav_mahler	music				
gustav_nachtigal	politics	exploration			
gutenberg_bible	literature	history	printing		
henry_nicholas_ridley	biology	botany			
herbert_henry_dow	chemistry	economics	inventions	engineering	
herodotus	literature	history			
hideo_shima	transport	engineering			
howard_carter	archaeology	history			
irène_joliot-curie	chemistry	physics			
jacques-louis_david	history	arts			
james_hutton	medicine	geology			
jimmy_fallon	music	communication	arts	broadcasting	
john_couch_adams	mathematics	astronomy			
john_maynard_keynes	politics	economics	mathematics		
john_reith,_1st_baron_reith	politics	communication	broadcasting		
joseph_justus_scaliger	medicine	history	philosophy		
josiah_wedgwood	economics	engineering	arts		
julian_schwinger	physics				
julius_richard_petri	biology				
karl_benz	economics	inventions	transport	engineering	
kurt_gödel	mathematics	philosophy			
leo_von_klenze	archaeology	arts	architecture		
leonardo_da_vinci	inventions	engineering	arts		
louis_dollo	biology	paleontology			
ludwig_van_beethoven	music				
marcello_malpighi	biology	medicine			
marius_sestier	cinematography				
michael_collins_(astronaut)	aviation	outer_space			
mihajlo_pupin	inventions	physics	engineering	communication	
nadar_(photographer)	arts	photography			
neil_armstrong	aviation	engineering	outer_space		
nikolai_gogol	literature				
oskar_morgenstern	economics	mathematics			
ottmar_mergenthaler	inventions	engineering	printing		
peter_the_great	politics				
plato	politics	literature	philosophy		
rembert_dodoens	biology	botany	medicine		
richard_owen	biology	paleontology			
robert_esnault-pelterie	aviation	engineering	outer_space		
rudolf_leuckart	biology	zoology			
samuel_taylor_coleridge	literature	philosophy	poetry		
short_message_service	communication	broadcasting			
sigmund_freud	psychology	medicine	philosophy		
socrates	politics	literature	history	philosophy	
stephen_hawking	mathematics	physics	astronomy	outer_space	
steve_jobs	economics	inventions	arts		
sugar_act	politics	economics	history		
super_mario	electronic_games				
thomas_edison	inventions	engineering			
thomas_robert_malthus	politics	economics			
tower_subway	transport				
valentin_glushko	aviation	engineering	outer_space		
victor_goldschmidt	chemistry				
vladimir_shukhov	inventions	engineering	architecture		
walter_gropius	arts	architecture			
william_kennedy_dickson	inventions	engineering	cinematography		
william_shakespeare	literature	poetry			
wolfgang_amadeus_mozart	music				
world_of_warcraft	electronic_games				
wright_brothers	inventions	aviation	engineering	transport	
